TREND_DATE,WELL_STATUS,FAILURE_CATEGORY,FAILURE_DESCRIPTION,SEVERITY_LEVEL,SEVERITY_CATEGORY,VOLTAGE_MAX,VOLTAGE_MIN,CHARGE_VOLTS,NO_CHARGE,INSUFFICIENT_CHARGE,HIGH_VOLTAGE,VOLTAGE_CAUSED_OUTAGE,CURENT_OUTAGE,DAYS_TO_LOAD_OFF,DOWNTIME_PERCENT,PRODUCTION_LOSS,NOTIFICATION_FLAG,SENSOR_FAULT,DEAD_CELL,WELL_CD
2018-06-01 00:00,Online,Normal,,1,Notice,14.7601099,11.95720005,2.802909849999999,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-02 00:00,Online,Normal,,1,Notice,14.76548004,11.94927025,2.8162097900000003,F,F,F,F,F,18.0,,,F,F,F,ACRUS1
2018-06-03 00:00,Online,Normal,,1,Notice,14.71809006,11.95512962,2.7629604400000005,F,F,F,F,F,17.0,,,F,F,F,ACRUS1
2018-06-04 00:00,Online,Normal,,1,Notice,14.66263008,11.97082996,2.69180012,F,F,F,F,F,17.0,,,F,F,F,ACRUS1
2018-06-05 00:00,Online,Normal,,3,Medium,14.65023994,11.93653965,2.71370029,F,F,F,F,F,12.0,,,F,F,F,ACRUS1
2018-06-06 00:00,Online,Normal,,1,Notice,14.75911045,11.97661018,2.78250027,F,F,F,F,F,17.0,,,F,F,F,ACRUS1
2018-06-07 00:00,Online,Normal,,1,Notice,14.48145962,12.01957035,2.4618892700000004,F,F,F,F,F,19.0,,,F,F,F,ACRUS1
2018-06-08 00:00,Online,Normal,,3,Medium,14.37020016,12.01502037,2.35517979,F,F,F,F,F,12.0,,,F,F,F,ACRUS1
2018-06-09 00:00,Online,Normal,,1,Notice,14.3393898,12.08316994,2.25621986,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-10 00:00,Online,Normal,,1,Notice,14.3867197,12.05550003,2.331219670000001,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-11 00:00,Online,Normal,,1,Notice,14.37639046,11.99271965,2.38367081,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-12 00:00,Online,Normal,,1,Notice,14.46065044,11.95100021,2.50965023,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-13 00:00,Online,Normal,,1,Notice,14.64651966,11.94025993,2.70625973,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-14 00:00,Online,Normal,,1,Notice,14.64527988,11.93943977,2.7058401100000005,F,F,F,F,F,22.0,,,F,F,F,ACRUS1
2018-06-15 00:00,Online,Normal,,1,Notice,14.6610899,11.96008968,2.701000220000001,F,F,F,F,F,18.0,,,F,F,F,ACRUS1
2018-06-16 00:00,Online,Normal,,3,Medium,14.64694023,11.9382,2.70874023,F,F,F,F,F,13.0,,,F,F,F,ACRUS1
2018-06-17 00:00,Online,Normal,,3,Medium,14.7567997,11.87788963,2.87891007,F,F,F,F,F,10.0,,,F,F,F,ACRUS1
2018-06-18 00:00,Online,Normal,,3,Medium,14.78695011,11.85144997,2.9355001400000003,F,F,F,F,F,9.0,,,F,F,F,ACRUS1
2018-06-19 00:00,Online,Normal,,3,Medium,14.8295002,11.94398022,2.88551998,F,F,F,F,F,10.0,,,F,F,F,ACRUS1
2018-06-20 00:00,Online,Normal,,3,Medium,14.59531021,11.8394804,2.75582981,F,F,F,F,F,7.0,,,F,F,F,ACRUS1
2018-06-21 00:00,Online,Normal,,3,Medium,14.76051998,12.01502991,2.745490069999999,F,F,F,F,F,10.0,,,F,F,F,ACRUS1
2018-06-22 00:00,Online,Normal,,3,Medium,14.66014957,11.99763966,2.662509909999999,F,F,F,F,F,9.0,,,F,F,F,ACRUS1
2018-06-23 00:00,Online,Normal,,1,Notice,14.64735031,12.01130009,2.63605022,F,F,F,F,F,14.0,,,F,F,F,ACRUS1
2018-06-24 00:00,Online,Normal,,1,Notice,14.44909,11.99271965,2.4563703500000003,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-25 00:00,Online,Normal,,1,Notice,14.45403957,11.99767017,2.4563694000000016,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-26 00:00,Online,Normal,,3,Medium,14.47552013,11.83613968,2.639380449999999,F,F,F,F,F,13.0,,,F,F,F,ACRUS1
2018-06-27 00:00,Online,Normal,,1,Notice,14.65353966,12.02616978,2.62736988,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-28 00:00,Online,Normal,,1,Notice,14.74936962,11.99808979,2.75127983,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-29 00:00,Online,Normal,,1,Notice,14.74269962,11.99849987,2.74419975,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
2018-06-30 00:00,Online,Normal,,1,Notice,14.65974045,11.97949982,2.68024063,F,F,F,F,F,30.0,,,F,F,F,ACRUS1
